Step 0:    (2022-05-08 19:08:00.686273)
2022-05-08 22:40:14.698136: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2022-05-08 22:40:14.725942: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2799925000 Hz
2022-05-08 22:40:14.727324: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x5561a8f8c0a0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2022-05-08 22:40:14.727347: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
2022-05-08 22:40:14.940717: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x5561a98d85b0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2022-05-08 22:40:14.940776: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA GeForce RTX 2080 Ti, Compute Capability 7.5
2022-05-08 22:40:14.940795: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (1): NVIDIA GeForce RTX 2080 Ti, Compute Capability 7.5
2022-05-08 22:40:14.941105: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1159] Device interconnect StreamExecutor with strength 1 edge matrix:
2022-05-08 22:40:14.941130: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1165]      
WARNING:tensorflow:From train.py:73: The name tf.summary.FileWriter is deprecated. Please use tf.compat.v1.summary.FileWriter instead.

WARNING:tensorflow:From train.py:74: The name tf.global_variables_initializer is deprecated. Please use tf.compat.v1.global_variables_initializer instead.

Step 0:    (2022-05-08 22:40:16.084004)
    training nat accuracy 16.0%
    training adv accuracy 0.0%
Step 100:    (2022-05-08 22:41:37.917348)
    training nat accuracy 58.0%
    training adv accuracy 0.0%
    60.529903966476894 examples per second
Step 200:    (2022-05-08 22:43:06.955874)
    training nat accuracy 70.0%
    training adv accuracy 0.0%
    56.17408914671377 examples per second
Step 300:    (2022-05-08 22:44:37.078147)
    training nat accuracy 82.0%
    training adv accuracy 0.0%
    55.49939486957674 examples per second
Step 400:    (2022-05-08 22:46:01.490051)
    training nat accuracy 74.0%
    training adv accuracy 0.0%
    59.319770497649806 examples per second
Step 500:    (2022-05-08 22:47:32.325186)
    training nat accuracy 80.0%
    training adv accuracy 0.0%
    55.063439894728724 examples per second
Step 600:    (2022-05-08 22:49:03.333834)
    training nat accuracy 70.0%
    training adv accuracy 0.0%
    54.95861093441558 examples per second
Step 700:    (2022-05-08 22:50:25.286545)
    training nat accuracy 88.0%
    training adv accuracy 2.0%
    61.099679376668746 examples per second
Step 800:    (2022-05-08 22:51:57.139820)
    training nat accuracy 66.0%
    training adv accuracy 0.0%
    54.45337631440698 examples per second
Step 900:    (2022-05-08 22:53:29.537444)
    training nat accuracy 76.0%
    training adv accuracy 0.0%
    54.13270772428233 examples per second
WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/tensorflow_core/python/training/saver.py:963: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
Step 1000:    (2022-05-08 22:54:51.155029)
    training nat accuracy 76.0%
    training adv accuracy 2.0%
    61.36339612807271 examples per second
Step 1100:    (2022-05-08 22:56:20.827805)
    training nat accuracy 76.0%
    training adv accuracy 6.0%
    55.820784272616 examples per second
Step 1200:    (2022-05-08 22:57:53.347556)
    training nat accuracy 86.0%
    training adv accuracy 12.0%
    54.06139338115028 examples per second
Step 1300:    (2022-05-08 22:59:12.802176)
    training nat accuracy 78.0%
    training adv accuracy 2.0%
    63.028317839880145 examples per second
Step 1400:    (2022-05-08 23:00:43.395350)
    training nat accuracy 74.0%
    training adv accuracy 14.0%
    55.210364064013696 examples per second
Step 1500:    (2022-05-08 23:02:15.613297)
    training nat accuracy 64.0%
    training adv accuracy 20.0%
    54.23826458266181 examples per second
Step 1600:    (2022-05-08 23:03:37.750719)
    training nat accuracy 74.0%
    training adv accuracy 18.0%
    60.95991358546256 examples per second
Step 1700:    (2022-05-08 23:05:08.937852)
    training nat accuracy 70.0%
    training adv accuracy 18.0%
    54.85180001927672 examples per second
Step 1800:    (2022-05-08 23:06:41.330738)
    training nat accuracy 62.0%
    training adv accuracy 22.0%
    54.13558483367086 examples per second
Step 1900:    (2022-05-08 23:08:04.077023)
    training nat accuracy 62.0%
    training adv accuracy 18.0%
    60.51200872351358 examples per second
Step 2000:    (2022-05-08 23:09:35.223477)
    training nat accuracy 66.0%
    training adv accuracy 22.0%
    54.874773708130824 examples per second
Step 2100:    (2022-05-08 23:11:07.618096)
    training nat accuracy 74.0%
    training adv accuracy 14.0%
    54.13393552806925 examples per second
Step 2200:    (2022-05-08 23:12:28.324496)
    training nat accuracy 72.0%
    training adv accuracy 24.0%
    62.10379424687955 examples per second
Step 2300:    (2022-05-08 23:13:58.536163)
    training nat accuracy 74.0%
    training adv accuracy 30.0%
    55.44419736857823 examples per second
Step 2400:    (2022-05-08 23:15:30.873225)
    training nat accuracy 64.0%
    training adv accuracy 2.0%
    54.1684838370933 examples per second
Step 2500:    (2022-05-08 23:16:52.477478)
    training nat accuracy 72.0%
    training adv accuracy 30.0%
    61.3608367507718 examples per second
Step 2600:    (2022-05-08 23:18:22.501680)
    training nat accuracy 84.0%
    training adv accuracy 26.0%
    55.55998607610912 examples per second
Step 2700:    (2022-05-08 23:19:54.839418)
    training nat accuracy 82.0%
    training adv accuracy 38.0%
    54.16770163074749 examples per second
Step 2800:    (2022-05-08 23:21:17.440191)
    training nat accuracy 54.0%
    training adv accuracy 12.0%
    60.630259556627074 examples per second
Step 2900:    (2022-05-08 23:22:49.041580)
    training nat accuracy 82.0%
    training adv accuracy 28.0%
    54.603010570002766 examples per second
Step 3000:    (2022-05-08 23:24:21.055176)
    training nat accuracy 88.0%
    training adv accuracy 28.0%
    54.358647908904146 examples per second
Step 3100:    (2022-05-08 23:25:41.419455)
    training nat accuracy 80.0%
    training adv accuracy 22.0%
    62.312769031944356 examples per second
Step 3200:    (2022-05-08 23:27:12.760879)
    training nat accuracy 76.0%
    training adv accuracy 24.0%
    54.757167774740694 examples per second
Step 3300:    (2022-05-08 23:28:45.057012)
    training nat accuracy 74.0%
    training adv accuracy 22.0%
    54.232064378387335 examples per second
Step 3400:    (2022-05-08 23:30:07.151568)
    training nat accuracy 88.0%
    training adv accuracy 28.0%
    60.99890599226269 examples per second
Step 3500:    (2022-05-08 23:31:38.828678)
    training nat accuracy 76.0%
    training adv accuracy 34.0%
    54.557247483946796 examples per second
Step 3600:    (2022-05-08 23:33:11.045651)
    training nat accuracy 76.0%
    training adv accuracy 22.0%
    54.238818025770414 examples per second
Step 3700:    (2022-05-08 23:34:33.426486)
    training nat accuracy 90.0%
    training adv accuracy 28.0%
    60.77729562135402 examples per second
Step 3800:    (2022-05-08 23:36:05.417873)
    training nat accuracy 78.0%
    training adv accuracy 32.0%
    54.371544849379255 examples per second
Step 3900:    (2022-05-08 23:37:38.302045)
    training nat accuracy 86.0%
    training adv accuracy 38.0%
    53.849362096584294 examples per second
Step 4000:    (2022-05-08 23:38:58.954710)
    training nat accuracy 92.0%
    training adv accuracy 26.0%
    62.08210655332009 examples per second
Step 4100:    (2022-05-08 23:40:30.655331)
    training nat accuracy 88.0%
    training adv accuracy 38.0%
    54.54191750011969 examples per second
Step 4200:    (2022-05-08 23:42:03.457812)
    training nat accuracy 90.0%
    training adv accuracy 44.0%
    53.896706451149036 examples per second
Step 4300:    (2022-05-08 23:43:25.284943)
    training nat accuracy 84.0%
    training adv accuracy 40.0%
    61.20243370444393 examples per second
Step 4400:    (2022-05-08 23:44:55.936421)
    training nat accuracy 96.0%
    training adv accuracy 32.0%
    55.21636334194839 examples per second
Step 4500:    (2022-05-08 23:46:28.204752)
    training nat accuracy 86.0%
    training adv accuracy 42.0%
    54.208671607163666 examples per second
Step 4600:    (2022-05-08 23:47:50.473037)
    training nat accuracy 96.0%
    training adv accuracy 34.0%
    60.86600538614042 examples per second
Step 4700:    (2022-05-08 23:49:22.504948)
    training nat accuracy 92.0%
    training adv accuracy 38.0%
    54.347159262563146 examples per second
Step 4800:    (2022-05-08 23:50:55.037306)
    training nat accuracy 92.0%
    training adv accuracy 40.0%
    54.05399642586104 examples per second
Step 4900:    (2022-05-08 23:52:17.980596)
    training nat accuracy 90.0%
    training adv accuracy 32.0%
    60.374938884420445 examples per second
Step 5000:    (2022-05-08 23:53:49.334019)
    training nat accuracy 94.0%
    training adv accuracy 40.0%
    54.74991941172373 examples per second
Step 5100:    (2022-05-08 23:55:22.278680)
    training nat accuracy 88.0%
    training adv accuracy 32.0%
    53.81439088927092 examples per second
Step 5200:    (2022-05-08 23:56:44.225586)
    training nat accuracy 92.0%
    training adv accuracy 34.0%
    61.108743611752196 examples per second
Step 5300:    (2022-05-08 23:58:15.073505)
    training nat accuracy 94.0%
    training adv accuracy 42.0%
    55.05647521039065 examples per second
Step 5400:    (2022-05-08 23:59:48.099232)
    training nat accuracy 94.0%
    training adv accuracy 40.0%
    53.76726395400286 examples per second
Step 5500:    (2022-05-09 00:01:11.794572)
    training nat accuracy 88.0%
    training adv accuracy 32.0%
    59.87785526363645 examples per second
Step 5600:    (2022-05-09 00:02:42.126689)
    training nat accuracy 92.0%
    training adv accuracy 38.0%
    55.3694681627178 examples per second
Step 5700:    (2022-05-09 00:04:14.053827)
    training nat accuracy 90.0%
    training adv accuracy 38.0%
    54.4101553327352 examples per second
Step 5800:    (2022-05-09 00:05:36.809406)
    training nat accuracy 90.0%
    training adv accuracy 36.0%
    60.499109194039235 examples per second
Step 5900:    (2022-05-09 00:07:09.054977)
    training nat accuracy 90.0%
    training adv accuracy 44.0%
    54.22173381329432 examples per second
Step 6000:    (2022-05-09 00:08:41.583730)
    training nat accuracy 90.0%
    training adv accuracy 48.0%
    54.056297709247815 examples per second
Step 6100:    (2022-05-09 00:10:03.298865)
    training nat accuracy 92.0%
    training adv accuracy 48.0%
    61.266843184208874 examples per second
Step 6200:    (2022-05-09 00:11:33.755337)
    training nat accuracy 88.0%
    training adv accuracy 42.0%
    55.29349202876375 examples per second
Step 6300:    (2022-05-09 00:13:06.443704)
    training nat accuracy 90.0%
    training adv accuracy 40.0%
    53.96315143016689 examples per second
Step 6400:    (2022-05-09 00:14:28.922925)
    training nat accuracy 96.0%
    training adv accuracy 40.0%
    60.69774693331573 examples per second
Step 6500:    (2022-05-09 00:16:01.210085)
    training nat accuracy 86.0%
    training adv accuracy 40.0%
    54.19595227182223 examples per second
Step 6600:    (2022-05-09 00:17:33.900580)
    training nat accuracy 96.0%
    training adv accuracy 46.0%
    54.00591224114229 examples per second
Step 6700:    (2022-05-09 00:18:56.298512)
    training nat accuracy 92.0%
    training adv accuracy 46.0%
    60.78415412118928 examples per second
Step 6800:    (2022-05-09 00:20:28.553192)
    training nat accuracy 90.0%
    training adv accuracy 36.0%
    54.21433502460211 examples per second
Step 6900:    (2022-05-09 00:22:01.181228)
    training nat accuracy 96.0%
    training adv accuracy 44.0%
    53.99832306584082 examples per second
Step 7000:    (2022-05-09 00:23:25.474908)
    training nat accuracy 92.0%
    training adv accuracy 42.0%
    59.40253296533101 examples per second
Step 7100:    (2022-05-09 00:24:57.247215)
    training nat accuracy 98.0%
    training adv accuracy 42.0%
    54.50071686653491 examples per second
Step 7200:    (2022-05-09 00:26:29.676279)
    training nat accuracy 92.0%
    training adv accuracy 38.0%
    54.11452957237708 examples per second
Step 7300:    (2022-05-09 00:27:52.319431)
    training nat accuracy 94.0%
    training adv accuracy 44.0%
    60.5813894498661 examples per second
Step 7400:    (2022-05-09 00:29:23.256740)
    training nat accuracy 96.0%
    training adv accuracy 42.0%
    55.002679574329036 examples per second
Step 7500:    (2022-05-09 00:30:56.134751)
    training nat accuracy 92.0%
    training adv accuracy 38.0%
    53.85242173462506 examples per second
Step 7600:    (2022-05-09 00:32:19.346904)
    training nat accuracy 92.0%
    training adv accuracy 34.0%
    60.16998168017368 examples per second
Step 7700:    (2022-05-09 00:33:50.396156)
    training nat accuracy 94.0%
    training adv accuracy 50.0%
    54.9716559056681 examples per second
Step 7800:    (2022-05-09 00:35:24.492097)
    training nat accuracy 96.0%
    training adv accuracy 56.0%
    53.15515759803488 examples per second
Step 7900:    (2022-05-09 00:36:46.536178)
    training nat accuracy 92.0%
    training adv accuracy 36.0%
    61.03389411147733 examples per second
Step 8000:    (2022-05-09 00:38:17.390991)
    training nat accuracy 88.0%
    training adv accuracy 46.0%
    55.05214426128402 examples per second
Step 8100:    (2022-05-09 00:39:50.402876)
    training nat accuracy 94.0%
    training adv accuracy 44.0%
    53.77521502643365 examples per second
Step 8200:    (2022-05-09 00:41:11.892177)
    training nat accuracy 94.0%
    training adv accuracy 52.0%
    61.451488345420024 examples per second
Step 8300:    (2022-05-09 00:42:43.193051)
    training nat accuracy 94.0%
    training adv accuracy 46.0%
    54.78165125958113 examples per second
Step 8400:    (2022-05-09 00:44:15.650234)
    training nat accuracy 92.0%
    training adv accuracy 50.0%
    54.09778894082596 examples per second
Step 8500:    (2022-05-09 00:45:38.041816)
